id,teilnehmer_id,zeitpunkt,x_kognition,y_sozial,z_affektiv,h_bedeutung,dh_dt,cluster_id,stabilitaet_score,transitions_marker,bemerkung
129,9,2025-10-28 17:10:00,2.2,2.25,3.0,2.36364,0.727273,3,0.866111,⚡ Perturbativ,K:2.20 S:2.25 A:3.00 h:2.36 Δh:0.73
130,5,2025-10-28 17:10:00,1.75,2.0,1.5,1.71429,-0.0857143,2,0.958333,🌱 Adaptiv (resilient),K:1.75 S:2.00 A:1.50 h:1.71 Δh:-0.09
131,2,2025-10-29 15:35:00,1.6,1.75,1.5,1.63636,-0.0909091,2,0.989444,🌱 Adaptiv (resilient),K:1.60 S:1.75 A:1.50 h:1.64 Δh:-0.09
133,11,2025-10-29 15:35:00,2.6,2.25,2.5,2.45455,0.727273,3,0.978333,⚡ Perturbativ,K:2.60 S:2.25 A:2.50 h:2.45 Δh:0.73
134,6,2025-10-29 15:35:00,2.6,2.25,3.0,2.54545,0.363636,3,0.906111,🌊 Transformativ,K:2.60 S:2.25 A:3.00 h:2.55 Δh:0.36
132,10,2025-10-29 16:53:35,1.6,1.0,1.0,1.27273,0.0909091,1,0.92,🌱 Adaptiv (resilient),K:1.60 S:1.00 A:1.00 h:1.27 Δh:0.09
135,7,2025-10-29 17:10:00,1.2,2.0,2.0,1.63636,0.0,2,0.857778,⚖️ Homöostatisch (resilient),K:1.20 S:2.00 A:2.00 h:1.64 Δh:0.00
136,22,2025-10-29 17:10:00,2.8,1.25,2.5,2.18182,0.636364,2,0.549444,⚡ Perturbativ,K:2.80 S:1.25 A:2.50 h:2.18 Δh:0.64
137,14,2025-10-29 17:10:00,1.2,1.0,1.5,1.18182,-1.09091,1,0.957778,💥 Kollapsiv,K:1.20 S:1.00 A:1.50 h:1.18 Δh:-1.09
138,9,2025-10-30 15:35:00,1.4,1.25,1.0,1.27273,-1.09091,1,0.972778,💥 Kollapsiv,K:1.40 S:1.25 A:1.00 h:1.27 Δh:-1.09
139,10,2025-10-30 16:55:47,1.0,1.0,1.0,1.0,-0.272727,1,1.0,🔄 Koordinativ,K:1.00 S:1.00 A:1.00 h:1.00 Δh:-0.27
140,18,2025-10-30 17:10:00,2.8,2.25,3.0,2.63636,0.181818,3,0.899444,🔄 Koordinativ,K:2.80 S:2.25 A:3.00 h:2.64 Δh:0.18
141,19,2025-10-30 17:10:00,2.8,2.25,3.0,2.63636,0.636364,3,0.899444,⚡ Perturbativ,K:2.80 S:2.25 A:3.00 h:2.64 Δh:0.64
142,16,2025-10-30 17:10:00,1.8,1.0,1.5,1.45455,-0.363636,1,0.891111,🌊 Transformativ,K:1.80 S:1.00 A:1.50 h:1.45 Δh:-0.36
143,17,2025-10-30 17:10:00,2.8,1.25,3.0,2.27273,0.181818,3,0.388333,🔄 Koordinativ,K:2.80 S:1.25 A:3.00 h:2.27 Δh:0.18
144,2,2025-11-03 15:35:00,2.2,1.5,2.0,1.90909,0.272727,2,0.913333,🔄 Koordinativ,K:2.20 S:1.50 A:2.00 h:1.91 Δh:0.27
145,43,2025-11-03 16:55:09,2.4,2.0,2.0,2.18182,0.0,2,0.964444,⚖️ Homöostatisch (resilient),K:2.40 S:2.00 A:2.00 h:2.18 Δh:0.00
146,40,2025-11-03 16:56:05,1.6,2.75,1.0,1.90909,-0.363636,2,0.472778,🌊 Transformativ,K:1.60 S:2.75 A:1.00 h:1.91 Δh:-0.36
147,40,2025-11-03 16:56:09,1.6,2.75,1.0,1.90909,0.0,2,0.472778,⚖️ Homöostatisch,K:1.60 S:2.75 A:1.00 h:1.91 Δh:0.00
148,20,2025-11-03 17:10:00,2.0,1.25,2.0,1.72727,0.0,2,0.875,⚖️ Homöostatisch (resilient),K:2.00 S:1.25 A:2.00 h:1.73 Δh:0.00
149,21,2025-11-03 17:10:00,2.4,1.25,2.5,2.0,0.727273,2,0.678333,⚡ Perturbativ,K:2.40 S:1.25 A:2.50 h:2.00 Δh:0.73
