pc1,pc2,dominante_dimension
0.02413572945310699,-0.0721945185769015,kognition
0.024699213400497008,-0.052352836697468236,kognition
0.0022230380142950505,-0.02193586042839279,kognition
-0.07086883568663996,0.03830670113564126,performanz
-0.03926971294799566,0.02107333582764243,performanz
-0.0034918996117082072,-0.008767893730334337,performanz
0.016599647967206962,0.0030738084966096865,performanz
-0.07298336912992212,0.042082905591598586,kognition
0.059052517868795604,-0.09198343115137499,performanz
-0.07482199321750943,0.07915628126971991,regulation
0.03956653405680108,-0.08280582320700712,performanz
0.048298852354684244,0.01609254396309033,performanz
-0.12093931974150857,0.11646297978118134,performanz
-0.03743455487440002,0.006802785737949209,kognition
-0.03525691074969869,0.0017070855186764743,performanz
0.008999289136515267,0.026037413818955038,performanz
0.12302191376212596,-0.1301280681554589,methodik
-0.006957082275021817,-0.03399010374023668,performanz
-0.1094544668524192,0.11292833000897613,motivation
-0.002103388720431518,0.029848463598383453,regulation
0.05655231302728042,-0.022326420060193895,kognition
0.04816087514828156,-0.0275209776197833,regulation
0.07365825308438935,-0.05092921161120004,performanz
-0.026986720298374123,-0.009570307124174879,performanz
-0.03716885096865789,0.00741951699529125,kognition
-0.021056617512683517,0.002513275067496321,kognition
-0.09500744004805588,0.05540941536090805,performanz
-0.11699523072026767,0.1327850020056047,kognition
-0.015325037388865493,-0.06291979760789704,performanz
0.03121384017591187,-0.030623246512655147,kognition
0.15707654461150078,-0.13616663410520516,performanz
-0.03959071318929806,0.05521032927954132,performanz
-0.06601395218812066,0.05004445061178004,kognition
